StyleCode,Variant1_Option_Code,Variant2_Option_Code,Variant3_Option_Code,Variant4_Option_Code,Variant5_Option_Code,USD_Price
AB00550,PLAT,LG,270M,,,660
B0100,09,MT,,,,930
B0100,09,12,,,,1050
B0100,09,13,,,,1050
B0100,09,14,,,,1050
B0100,09,15,,,,1050
B0100,09,16,,,,1050
B0100,09,23,,,,1050
B0100,09,LG,,,,1050
B0100,14,MT,,,,1750
B0100,14,12,,,,1870
B0100,14,13,,,,1870
B0100,14,14,,,,1870
B0100,14,15,,,,1870
B0100,14,16,,,,1870
B0100,14,23,,,,1870
B0100,14,LG,,,,1870
B0100,18,MT,,,,2580
B0100,18,12,,,,2700
B0100,18,13,,,,2700
B0100,18,14,,,,2700
B0100,18,15,,,,2700
B0100,18,16,,,,2700
B0100,18,23,,,,2700
B0100,18,LG,,,,2700
B0100,PLAT,MT,,,,2775
B0100,PLAT,12,,,,2895
B0100,PLAT,13,,,,2895
B0100,PLAT,14,,,,2895
B0100,PLAT,15,,,,2895
B0100,PLAT,16,,,,2895
B0100,PLAT,23,,,,2895
B0100,PLAT,LG,,,,2895
B1000,09,MT,0100,,,385
B1000,09,12,0100,,,790
B1000,09,13,0100,,,755
B1000,09,14,0100,,,725
B1000,09,15,0100,,,710
B1000,09,16,0100,,,690
B1000,09,23,0100,,,690
B1000,09,LG,0100,,,560
B1000,14,MT,0100,,,680
B1000,14,12,0100,,,1090
B1000,14,13,0100,,,1050
B1000,14,14,0100,,,1025
B1000,14,15,0100,,,1010
